AGNname,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,virialRadius,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),corrected_az (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
PG1425+267,IC4436,,"('216.89875', '26.53722')","('216.99243', '26.5045')",,,220.2676663,,9958.09,,140.2547749,,52.09,47.92,23,55,54.25631961,,,x,,x,E?,,0.032362,0.366,RT,,,,,,,,,no,reduce error
SDSSJ121903.98+152608.5,NGC4302,,"('184.76625', '15.43556')","('185.427', '14.59831')",,,457.1389915,,1448.79,,24.88,,51.75,6.21,83,178,-36.2729892,,,.S..5*/,,178,Sc: sp;Sy      LINER,,0.003833,0.1957,DG,,,,,,,,,no,very messy spectrum
SDSSJ143004.07+022213.3,UGC09292,,"('217.51667', '2.37028')","('217.29438', '2.287')",,,481.4902932,,8257.38,,116.301145,,51.54,16.49,71,15,234.4550449,,,x,,x,SABb,,0.026695,0.353248,RT,,,,,,,,,no,needs to be added to reduce
SBS0957+599,MCG+10-14-058,,"('150.26083', '59.7375')","('150.2715', '59.824')",,,206.1669176,,9677.17,,136.2981995,,50.81,16.26,71,165,22.03168639,,,x,,x,x,,0.031692,0.752,DG,,,,,,,,,no,lots of lines/promising
SDSSJ135341.03+361948.0,NGC5352,0,"('208.42083', '36.33')","('208.41013', '36.13405')",,,396.6731036,,8227.12,,115.8748644,,50.78,39.61,39,90,93.12511856,,,.L..-*.,,-99,S0-:,,0.026578,0.147,PL,no,no,no,6172,"6074, 6254",274pm10,7.25E13 pm 3.28E12,50.2pm 2.3,done,center is 6164
SDSSJ135341.03+361948.0,NGC5352,0,"('208.42083', '36.33')","('208.41013', '36.13405')",,,396.6731036,,8227.12,,115.8748644,,50.78,39.61,39,90,93.12511856,,,.L..-*.,,-99,S0-:,,0.026578,0.147,PL,no,no,no,6419,"6388, 6450",48pm7,9.82E12 pm 1.51E12,23.6pm 2.6,no,"not marked, but looks like a small Lya line here"
SDSSJ135341.03+361948.0,NGC5352,0,"('208.42083', '36.33')","('208.41013', '36.13405')",,,396.6731036,,8227.12,,115.8748644,,50.78,39.61,39,90,93.12511856,,,.L..-*.,,-99,S0-:,,0.026578,0.147,PL,no,no,no,6525,"6450, 6600",445pm6,2.05E14 pm 9.53E12,44.8pm 2.0,done,center is 6527
SDSSJ135341.03+361948.0,NGC5352,0,"('208.42083', '36.33')","('208.41013', '36.13405')",,,396.6731036,,8227.12,,115.8748644,,50.78,39.61,39,90,93.12511856,,,.L..-*.,,-99,S0-:,,0.026578,0.147,PL,no,no,no,6642,"6600, 6720",233pm8,7.37E13 pm 3.53E12,32.2pm 3.3,done,center is 6661
CSO1022,NGC5352,,"('208.35833', '36.34694')","('208.41013', '36.13405')",,,438.7607249,,8227.12,,115.8748644,,50.78,39.61,39,90,76.32639558,,,.L..-*.,,-99,S0-:,,0.026578,0.284,PL,,,,,,,,,no,public 06/30/15
RX_J1221.0+1554,UGC07450,,"('185.26042', '15.91306')","('185.72846', '15.82182')",,,127.7960497,,1870.57,,15.94,,50.37,39.29,39,108,-6.966328419,,,.SXS4..,,30,SAB(s)bc;LINER HII,,0.00524,0.231,RT,,,,,,,,,no,"needs to be added to reduce, original name = QSO1218+1611"
US2816,UGC06664,,"('175.55125', '30.27028')","('175.575', '30.23028')",,,110.1386926,,9966.61,,140.3748534,,48.66,12.65,75,100,49.30438371,,,.S..6*.,,102,Sc,,0.032306,0.479,RT,,,,,,,,,no,needs to be added to reduce
MRK1014,NGC0768,,"('29.95917', '0.39472')","('29.67056', '0.52922')",,,486.1589792,,6752.26,,87.483,,48.61,14.51,73,x,84.99495554,,,.SBR4*.,,30,SB(r)bc:,,0.023419,0.163,SP,,,,,,,,,"yes, d","done, original result"
MRK1014,KUG0156-001,1,"('29.95917', '0.39472')","(29.79728, 0.10978)",,,446.1,,5538,,x,,20.9,14.2,47.3,88,132.4,48,x,x,x,x,Scd/Compact,,0.01937,0.163,SP,yes,yes,yes,5658,"5610, 5706",43pm10,8.69E12 pm 2.05E12,33.2pm 2.4,d:Lya,"d:Lya labeled at 5694 _ I measure 5658, weak"
MRK1014,NGC0768,2,"('29.95917', '0.39472')","('29.67056', '0.52922')",,,496.74,FALSE,6752.26,,89.39,14,48.61,14.51,72,30,x,35,NGC768,.SBR4*.,61.4,30,SB(r)bc,,0.023419,0.163,SP,yes,yes,yes,7088,"7031, 7145",95pm10,2.00E13 pm 2.24E12,40.9pm 2.1,d:Lya,"d:Lya labeled at 7080 - I measure 7088, IC1761 companion; p"
MRK1014,SDSSJ020017.78+003715.5,1,"('29.95917', '0.39472')","(30.07412, 0.62098)",,,476.5,,7638.2,,x,,17,5.5,70.9,148,5.1,7,x,x,x,x,x,,0.026371,0.163,SP,yes,yes,yes,7563,"7474, 7652",401pm10,1.52E14 pm 6.47E12,45.1pm 2.0,d:Lya,"strong, but far away from galaxy; p"
MRK1014,x,0,"('29.95917', '0.39472')","('x','x')",,,x,,,,,,,,,,,,,,,,,,,0.163,SP,no,no,no,8427,"8362, 8492",154pm11,3.58E13 pm 3.03E12,38.4pm 2.7,d:Lya,d:Lya labeled at 8421 _ I measure 8427
RBS1768,RFGC3781,,"('324.70708', '-38.47778')","('324.43825', '-38.49256')",,,464.166338,,8951.06,,126.0713339,,48.41,7.7,81,x,x,,,x,,x,Sb,,0.030561,0.183,NP,,,,,,,,,no,needs to be downloaded
RX_J1503.2+6810,CGCG318-012,0,"('225.81875', '68.16833')","('225.56167', '68.26181')",,,325.4494668,,9911.79,,139.60269,,47.65,30.5,50,135,-25.01720304,,,x,,x,x,,0.032573,0.114,SP,no,no,no,7188,"7118, 7258",175pm16,4.11E13 pm 4.49E12,43.1pm 3.0,Lya,"Lya marked at 7204, I measure 7188"
RX_J1503.2+6810,CGCG318-012,0,"('225.81875', '68.16833')","('225.56167', '68.26181')",,,325.4494668,,9911.79,,139.60269,,47.65,30.5,50,135,-25.01720304,,,x,,x,x,,0.032573,0.114,SP,no,no,no,8232,"8208, 8256",29pm10,6.20E12 pm 2.21E12,13.3pm 4.1,no,"Not marked, but possibly weak Lya"
RX_J1503.2+6810,CGCG318-012,0,"('225.81875', '68.16833')","('225.56167', '68.26181')",,,325.4494668,,9911.79,,139.60269,,47.65,30.5,50,135,-25.01720304,,,x,,x,x,,0.032573,0.114,SP,no,no,no,8860,"8746, 8974",349pm20,9.38E13 pm 6.63E12,67.2pm 3.1,Lya,"Lya marked at 8845, I measure 8860 (possibly 2 blended components)"
RX_J1503.2+6810,CGCG318-012,1,"('225.81875', '68.16833')","(225.56167, 68.26181)",,,325.4494668,x,9911.8,,139.60269,x,47.6,30.5,50.2,135,x,88,0,x,x,x,x,,0.032573,0.114,SP,yes,yes,yes,10125,"10080, 10170",44pm14,8.89E12 pm 2.98E12,29.4pm 5.1,no,"Not marked, possibly weak Lya"
LBQS1222+0901,UGC07629,,"('186.33417', '8.74722')","('187.44484', '8.00048')",,,370.9992334,,1295.87,,16,,47.47,38.63,36,x,-31.07763317,,,.E.2...,,155,E2/S0;Sy2      LINER,,0.003326,0.535,RT,,,,,,,,,no,"needs to be added to reduce, original name = QSO1222+0901"
SDSSJ123426.80+072411.0,UGC07629,,"('188.61167', '7.40306')","('187.44484', '8.00048')",,,363.4510069,,1295.87,,16,,47.47,38.63,36,x,-37.880077,,,.E.2...,,155,E2/S0;Sy2      LINER,,0.003326,0.844,RT,,,,,,,,,no,needs to be added to reduce
RX_J1356.4+2515,IC4349,,"('209.10667', '25.25639')","('208.94309', '25.1519')",,,424.9066813,,9540.65,,134.3754189,,45.8,22.9,60,120,117.4257237,,,x,,x,x,,0.030913,0.165,DG,,,,,,,,,working,"looks promising, original name = RXS_J1356.4+2515"
SDSSJ105958.90+251709.0,UGC06063,,"('164.99542', '25.28583')","('164.6903', '25.14094')",,,484.7963562,,6325.78,,89.09551182,,45.27,8.15,80,65,179.5944024,,,x,,x,Sc,,0.020187,0.662,DG,,,,,,,,,no,needs to be downloaded
FBQSJ1134+2555,IC0710,,"('173.74', '25.92444')","('173.61421', '25.87648')",,,293.8479295,,9726.46,,136.992387,,44.5,23.14,59,0,249.1259871,,,x,,x,x,,0.031491,0.714,DG,,,,,,,,,no,"needs to be downloaded, original name = FIRST_J11349+2555"
NVSSJ152511-171436,FGC1895,,"('231.3', '-17.24389')","('231.43096', '-17.24122')",,,222.9824381,,7250.77,,102.1235119,,43.87,14.04,71,85,183.8314262,,,x,,x,Sc             HII,,0.02359,0.0497,SP,,,,,,,,,no,all 0 spectrum
PG1302-102,NGC4939,,"('196.3875', '-10.55556')","('196.05996', '-10.33961')",,,264.7658706,,3381.83,,39.118,,43.66,30.12,46,5,118.409571,,,.SAS4..,,10,SA(s)bc        Sy2,,0.010374,0.2784,MS,,,,,,,,,yes,"done, original result"
PG1302-102,MCG-02-34-006,3,"('196.3875', '-10.55556')","(197.44792, -10.32)",,,404.9,,1480.7,,x,x,18.9,15.8,33.6,x,x,76,x,x,x,x,SAB(s)d,,0.004037,0.2784,SP,yes,yes,yes,1313,"1242, 1384",318pm7,1.22E14 pm 4.22E12,34.8pm 2.3,"Lya, d:Lya","Lya labeled at 1313, d:Lya at 1314"
PG1302-102,NGC4939,1,"('196.3875', '-10.55556')","(196.05996, -10.33961)",,,264.7658706,x,3381.8,,39.118,28,43.7,30.1,46.4,5,113.8480923,47,NGC4939,.SAS4..,59.1,10,SA(s)bc,,0.010374,0.2784,SP,yes,yes,yes,3448,"3406, 3490",71pm5,1.51E13 pm 1.18E12,28.0pm 1.9,"d:Lya, OVI",marked both d:Lya at 3447 and OVI at 3448; p
PG1302-102,x,0,"('196.3875', '-10.55556')","('x','x')",,,x,,,,,,,,,,,,,,,,,,,0.2784,SP,no,no,no,5690,"5635, 5745",42pm6,8.18E12 pm 1.21E12,36.8pm 3.0,"Lya, d:NV","Lya labeled at 5683, d:NV at 5694 _ I measure 5690"
PG1302-102,x,0,"('196.3875', '-10.55556')","('x','x')",,,x,,,,,,,,,,,,,,,,,,,0.2784,SP,no,no,no,5856,"5820, 5892",54pm5,1.12E13 pm 1.01E12,24.7pm 1.9,d:Lya,weak
PG1302-102,x,0,"('196.3875', '-10.55556')","('x','x')",,,x,,,,,,,,,,,,,,,,,,,0.2784,SP,no,no,no,5972,"59,455,999",27pm4,5.38E12 pm 8.37E11,18.6pm 2.1,d:Lya,MgII labeled at 5981.5
PG1302-102,x,0,"('196.3875', '-10.55556')","('x','x')",,,x,,,,,,,,,,,,,,,,,,,0.2784,SP,no,no,no,6092,"6034, 6150",40pm6,7.81E12 pm 1.23E12,40.8pm 2.1,d:Lya,"MgII labeled at 6097.3, d:Lya labeled at 6098 _ I measure 6092"
PG1302-102,x,0,"('196.3875', '-10.55556')","('x','x')",,,x,,,,,,,,,,,,,,,,,,,0.2784,SP,no,no,no,6597,"6558, 6636",58pm5,1.20E13 pm 1.06E12,26.8pm 1.7,"Lya, d:Lya","Lya labeled at 6597, d:Lya at 6572, AGN-Ol labeled at 6559.6"
PG1302-102,PKS1302-102:[CPC2008]1027,1,"('196.3875', '-10.55556')","(196.49167, -10.41389)",,,336.5,,7829.3,,x,x,x,x,x,x,x,x,x,x,x,x,x,,0.02521,0.2784,SP,yes,yes,yes,7576,"7542, 7610",42pm5,8.49E12 pm 1.05E12,23.1pm 2.3,"Lya, d:Lya","Lya labeled at 7576, d:Lya at 7573"
PG1302-102,x,0,"('196.3875', '-10.55556')","('x','x')",,,,,,,,,,,,,,,,,,,,,,0.2784,SP,no,no,no,9856,"9827, 9885",31pm4,6.23E12 pm 8.27E11,20.2pm 2.0,d:Lya,"d:Lya labeled at 9837, SiI labeled 9766"
LBQS1206+1052,NGC4178,,"('182.35', '10.60361')","('183.19354', '10.86597')",,,257.9301553,,673.24,,17,,43.36,7.81,80,30,222.7183726,,,.SBT8..,,30,SB(rs)dm       HII,,0.001248,0.396,RT,,,,,,,,,no,"messy spectrum (nearly all 0), original name = QSO1206+1052"
RX_J1218.8+1015,NGC4178,,"('184.71042', '10.26528')","('183.19354', '10.86597')",,,476.9834421,,673.24,,17,,43.36,7.81,80,30,81.60953252,,,.SBT8..,,30,SB(rs)dm       HII,,0.001248,0.542,RT,,,,,,,,,no,"needs to be added to reduce, original name = QSO1216+1032"
SDSSJ122018.43+064119.6,NGC4365,,"('185.07667', '6.68861')","('186.11785', '7.31767')",,,459.3613342,,1541.54,,21.755,,43.24,32,42,45,193.8523053,,,.E.3...,,40,E3,,0.004146,0.287,RT,,,,,,,,,no,"needs to be added to reduce, original name = 1AXG_J122017+0641"
CG192,UGC07897,,"('190.98125', '29.37139')","('190.86953', '29.4668')",,,343.7055333,,9646.95,,144.5,,42.17,17.71,65,40,90.50248633,,,x,,x,Sc,,0.031222,0.0574,DG,,,,,,,,,no,messy spectrum
SDSSJ121640.60+071224.0,NGC4246,,"('184.16917', '7.20667')","('184.49216', '7.18591')",,,333.6953643,,4018.26,,59.54,,42.12,37.06,28,90,3.678769558,,,.SAS5..,,83,SA(s)c,,0.012409,0.587,RT,,,,,,,,,no,needs to be added to reduce
SDSSJ111244.05+550347.0,UGC06225,,"('168.18333', '55.06306')","('167.87904', '55.67411')",,,158.7178028,,910.44,,14.32,,41.82,9.2,77,83,70.52895926,,,.SBS6./,,80,SB(s)cd        HII,,0.002332,0.1315,DG,,,,,,,,,no,messy spectrum
SBS1108+560,UGC06225,4,"('167.88375', '55.79028')","(167.87904, 55.67411)",,,29.04206628,x,910.4,,14.32,x,41.8,9.2,77.3,83,x,80,NGC3556,.SBS6./,75.1,80,SB(s)cd        HII,,0.002332,0.765,DG,yes,yes,yes,705,"525, 885",1105pm71,3.22E14 pm 4.49E13,133.2pm 2.1,d:Lya,"d:Lya marked at 732, I measure 705 (bit messy though)"
SBS1108+560,UGC06225,3,"('167.88375', '55.79028')","(167.87904, 55.67411)",,,29.04206628,x,910.4,,14.32,x,41.8,9.2,77.3,83,x,80,NGC3556,.SBS6./,75.1,80,SB(s)cd        HII,,0.002332,0.765,DG,yes,yes,yes,956,"895, 1017",290pm45,8.01E13 pm 2.14E13,41.4pm 2.3,d:Lya,"d:Lya marked at 929, I measure 956"
SBS1108+560,UGC06225,0,"('167.88375', '55.79028')","('167.87904', '55.67411')",,,29.04206628,,910.44,,14.32,,41.82,9.2,77,83,99.32164654,,,.SBS6./,,80,SB(s)cd        HII,,0.002332,0.765,DG,no,no,no,5433,"5404, 5462",118pm31,3.13E13 pm 1.18E13,21.3pm 3.3,d:Lya,"d:Lya marked at 5417, I measure 5433"
SDSSJ091113.34+183108.1,NGC2774,,"('137.80542', '18.51889')","('137.66635', '18.69659')",,,487.724753,,8967.8,,126.3070242,,41.21,39.56,16,175,-33.04053792,,,x,,x,x,,0.029237,0.2622,DG,,,,,,,,,no,messy spectrum
SDSSJ124423.37+021540.4,NGC4636,,"('191.09708', '2.26111')","('190.70761', '2.68778')",,,163.6738225,,1232.53,,16.24,,41.02,34.46,33,143,-5.380050112,,,.E.0+..,,150,E/S0_1;LINER   Sy3,,0.003129,0.2395,DG,,,,,,,,,no,"messy spectrum, no lines"
SBS0335-052,NGC1376,,"('54.42833', '-5.04806')","('54.27467', '-5.04275')",,,148.7119365,,3950.29,,55.633,,38.43,29.98,39,30,61.97999571,,,.SAS6..,,-99,SA(s)cd,,0.013852,1.528,DG,,,,,,,,,no,"way to close, redshift is wrong, original name = CXOCY_J03377-0502"
CSO327,NGC3569,,"('168.16292', '35.65778')","('168.0337', '35.45213')",,,438.9589704,,7731.49,,108.8941752,,38.38,33.01,31,50,162.1396286,,,.LA.0..,,-99,SA0^0          PEG,,0.024907,0.636,DG,,,,,,,,,no,"needs to be downloaded, original name = SDSSJ111239.10+353928.0"
IRAS_F13369+2907,UGC08636,,"('204.81708', '28.87361')","('204.79517', '28.95922')",,,216.1983229,,10024.8,,141.1944149,,38.33,29.9,39,140,25.64692398,,,.S..4..,,-99,Sbc            Sbrst,,0.032519,0.0457,DG,,,,,,,,,no,"bad spectrum (all 0), original name = KISSR326"
LBQS1222+1235,UGC07654,,"('186.30375', '12.31')","('187.70593', '12.39112')",,,403.2629046,,1606.95,,16.839,,38.11,32.77,31,153,113.6880457,,,.E+0+P.,,-99,E+0-1 pec;NLRG Sy,,0.00436,0.415,RT,,,,,,,,,no,"needs to be added to reduce, original name = QSO1222+1235"
SDSSJ124834.63+123402.9,UGC07898,,"('192.14417', '12.56722')","('190.91656', '11.55271')",,,446.3793029,,1416.17,,16.272,,38.07,30.84,36,108,122.421482,,,.E.2...,,105,E2,,0.003726,0.2634,DG,,,,,,,,,no,messy useless spectrum
UM228,NGC0078A,,"('5.25417', '0.87972')","('5.10745', '0.82635')",,,183.7299211,,4787.73,,67.43287946,,37.83,19.67,59,70,180.0041587,,,.SBR0*.,,80,SB(r)0/a:,,0.016942,0.098,NP,,,,,,,,,no,needs to be downloaded
MS1217.0+0700,NGC4261,,"('184.87875', '6.72611')","('184.84675', '5.82522')",,,492.7667708,,2535.53,,31.32,,37.35,32.8,29,x,22.03366336,,,.E.2+..,,160,E2-3;LINER     Sy3,,0.007465,0.08,PL,,,,,,,,,no,possibly promising
PG1216+069,NGC4261,,"('184.83708', '6.64389')","('184.84675', '5.82522')",,,447.5462612,,2535.53,,31.32,,37.35,32.8,29,x,19.32348008,,,.E.2+..,,160,E2-3;LINER     Sy3,,0.007465,0.3313,SP,,,,,,,,,yes,"done, original result"
PG1216+069,x,21,"('184.83708', '6.64389')","('x','x')",,,,,,,,,,,,,,,,,,,,,,0.3313,SP,no,no,no,1903,"1461, 2345",2222pm20,1.14E15 pm 2.81E13,229.4pm 4.6,"d:Lya, Lya","DLA, bit far away, 1125, 1449, 2971, and 3040 Lya and AGN-Ly series markers over nothing, near NGC4260 & many other galaxies; p"
PG1216+069,SDSSJ121903.72+063342.9,1,"('184.83708', '6.64389')","(184.76552, 6.56194)",,,110.2,,4131,,58.18263304,x,7.7,3.7,61.3,156,-17.1,15,x,x,x,x,x,,0.012787,0.3313,SP,yes,yes,yes,3797,"3694, 3900",331pm10,9.10E13 pm 3.24E12,55.2pm 2.4,"Lya, d:Lya","Lya labeled at 3775, 3812, d:Lya labeled at 3797"
PG1216+069,x,0,"('184.83708', '6.64389')","('x','x')",,,,,,,,,,,,,,,,,,,,,,0.3313,SP,no,no,no,5657,"5612, 5702",95pm6,2.06E13 pm 1.60E12,33.7pm 2.1,d:Lya,"Lya labeled at 5674 _ I measure 5657, blended with Clll"
PG1216+069,x,0,"('184.83708', '6.64389')","('x','x')",,,,,,,,,,,,,,,,,,,,,,0.3313,SP,no,no,no,7178,"7104, 7252",161pm8,3.75E13 pm 2.06E12,41.9pm 2.9,"Lya, d:Lya","Lya labeled at 7178, d:Lya at 7176"
SDSSJ135726.27+043541.4,NGC5364,,"('209.35917', '4.59472')","('209.05', '5.01447')",,,183.1138939,,1516.42,,20.15,,37.16,21.18,55,48,95.63547824,,,.SAT4P.,,30,SA(rs)bc pec   HII,,0.00414,1.234,DG,,,,,,,,,no,"needs to be downloaded, original name = QSO1354+0450"
IRAS_Z06229-6434,2MASXJ06220168-6447421,,"('95.78208', '-64.60528')","('95.50692', '-64.795')",,,426.905755,,7780.47,,109.5841447,,37.14,17.08,63,20,215.3844243,,,x,,x,Sa,,0.026165,0.1289,SP,,,,,,,,,yes,"done, original result"
IRAS_Z06229-6434,2MASXJ06220168-6447421,,"('95.78208', '-64.60528')","('95.50692', '-64.795')",,,426.91,TRUE,7780.47,,109.58,18,37.14,17.08,62,20,191.8809485,191.8809485,0,x,x,x,Sa,,0.026165,0.1289,SP,,,,,,no,,,,
IRAS_Z06229-6434,2MASXJ06215512-6449011,,"('95.78208', '-64.60528')","('95.47979', '-64.81689')",,,499.54,TRUE,8197.41,,115.46,18,28.83,12.68,63,55,156.4926649,156.4926649,0,x,x,x,S0,,0.027556,0.1289,SP,,,,,,no,,,,only Sll
IRAS_Z06229-6434,2MASXJ06221396-6443403,,"('95.78208', '-64.60528')","('95.558', '-64.72783')",,,292.6,TRUE,7649.61,,107.74,18,28.21,25.07,27,40,x,x,ESO087-G12,.L?....,33.7,-99,SAB0,,0.025728,0.1289,SP,,,,,,no,,,,
IRAS_Z06229-6434,x,0,"('95.78208', '-64.60528')","('x','x')",,,,,,,,,,,,,,,,,,,,,,0.1289,SP,no,no,no,1279,"1235, 1325",64pm7,1.31E13 pm 1.59E12,30.3pm 2.3,d:Lya,"center is 1280, only HIPASSJ0608-63 at 1554 km/s with b = 736 kpc"
IRAS_Z06229-6434,x,0,"('95.78208', '-64.60528')","('x','x')",,,,,,,,,,,,,,,,,,,,,,0.1289,SP,no,no,no,1353,"1330, 1376",18pm5,3.62E12 pm 1.02E12,13.3pm 2.7,no,Not marked
IRAS_Z06229-6434,x,0,"('95.78208', '-64.60528')","('x','x')",,,,,,,,,,,,,,,,,,,,,,0.1289,SP,no,no,no,3689,"3595, 3755",284pm6,8.98E13 pm 2.51E12,39.0pm 2.6,d:Lya,"center is 3675, no galaxies within 1000 km/s and 800 km/s"
SDSSJ140347.22+062812.1,UGC08979,,"('210.94667', '6.47')","('211.03192', '6.48589')",,,182.7580075,,7709.47,,121.5,,36.76,9.55,75,15,244.4382749,,,x,,x,Sbc,,0.024807,0.0843,NP,,,,,,,,,no,messy but possibly useful
SDSSJ080908.13+461925.6,UGC04260,2,"('122.28375', '46.32389')","(122.78651, 46.4654)",,,217.6633981,x,2391,,33.299999,x,8.4,3.5,65.2,110,x,4,UGC4260,.I..9*.,24.2,-99,Im:,,0.007519,0.6563,SP,yes,yes,yes,2294,"2230, 2358",83pm14,1.72E13 pm 3.18E12,38.5pm 4.9,d:Lya,"d:Lya marked at 2281, I measure 2294"
SDSSJ080908.13+461925.6,UGC04250,0,"('122.28375', '46.32389')","('122.52285', '46.19303')",,,498.767426,,9623.36,,135.5402228,,36.73,16.89,63,115,3.694128211,4,,.S..6*.,,-99,Scd:,,0.031644,0.6563,SP,no,no,no,3107,"3040, 3174",208pm12,5.56E13 pm 3.88E12,37.0pm 2.8,d:Lya,"d:Lya marked at 3122, I measure 3107. UGC04258 is at correct velocity, but b = 693 kpc"
SDSSJ080908.13+461925.6,UGC04250,0,"('122.28375', '46.32389')","('122.52285', '46.19303')",,,498.767426,,9623.36,,135.5402228,,36.73,16.89,63,115,3.694128211,,,.S..6*.,,-99,Scd:,,0.031644,0.6563,SP,no,no,no,3223,"3174, 3272",71pm11,1.46E13 pm 2.54E12,37.1pm 2.2,d:Lya,"d:Lya marked at 3205, I measure 3223. UGC04258 is at correct velocity, but b = 693 kpc"
SDSSJ080908.13+461925.6,UGC04250,0,"('122.28375', '46.32389')","('122.52285', '46.19303')",,,498.767426,,9623.36,,135.5402228,,36.73,16.89,63,115,3.694128211,,,.S..6*.,,-99,Scd:,,0.031644,0.6563,SP,no,no,no,5977,"5944, 6010",49pm9,1.02E13 pm 1.95E12,23.2pm 2.4,d:Lya,possibly blended with MgII
SDSSJ080908.13+461925.6,SDSSJ080842.74+461828.9,0,"('122.28375', '46.32389')","(122.17811, 46.30809)",,,132.6306394,x,7227.2,,101.791107,x,13.2,10.6,36.9,74,x,28,0,x,x,x,x,,0.023656,0.6563,SP,no,no,no,6766,"6668, 6864",543pm10,2.55E14 pm 1.41E13,55.9pm 1.8,d:Lya,"d:Lya labeled at 6774, I measure 6766. This galaxy is ~500km/s away, and MCG+08-15-040 has correct velocity but b = 734"
SDSSJ080908.13+461925.6,SDSSJ080842.74+461828.9,1,"('122.28375', '46.32389')","(122.17811, 46.30809)",,,132.6306394,x,7227.2,,101.791107,x,13.2,10.6,36.9,74,x,28,0,x,x,x,x,,0.023656,0.6563,SP,yes,yes,yes,6913,"6864, 6062",151pm9,3.57E13 pm 2.76E12,38.6pm 1.9,d:Lya,"d:Lya labeled at 6900, I measure 6913"
SDSSJ080908.13+461925.6,SDSSJ080842.74+461828.9,1,"('122.28375', '46.32389')","(122.17811, 46.30809)",,,132.6306394,x,7227.2,,101.791107,x,13.2,10.6,36.9,74,x,28,0,x,x,x,x,,0.023656,0.6563,SP,yes,yes,yes,7112,"7044, 7180",160pm12,3.73E13 pm 3.08E12,42.0pm 3.5,d:Lya,"d:Lya labeled at 7117, I measure 7112"
SDSSJ105956.10+121151.0,NGC3491,,"('164.98375', '12.1975')","('165.14751', '12.16157')",,,268.8239082,,6665.84,,93.88500288,,36.69,27.15,42,140,-37.62165875,,,.L..-*.,,-99,S0-:,,0.021301,0.993,RT,,,,,,,,,no,needs to be added to reduce
PG1202+281,2MASXJ12053834+2752075,,"('181.17542', '27.90333')","('181.40979', '27.86889')",,,450.6455,,8729.73,,122.9539287,,36.48,18.24,60,125,-26.63890596,,,x,,x,S0,,0.028156,0.1653,DG,,,,,,,,,no,needs to be downloaded (FOS only)
4C10.34,NGC4082,,"('181.48375', '10.71472')","('181.29771', '10.67062')",,,336.4649402,,7278.45,,102.5133829,,35.93,12.94,69,75,181.6606687,,,x,,x,x,,0.023283,1.088,RT,,,,,,,,,no,needs to be added to reduce
PG0923+201,CGCG091-095,,"('141.47792', '19.90111')","('141.57977', '19.81949')",,,265.6064644,,8585.58,,120.9236287,,35.7,15,65,45,83.71417413,,,x,,x,x,,0.027916,0.19,DG,,,,,,,,,no,looks promising
TON1009,NGC2770,,"('137.27542', '32.60861')","('137.39045', '33.12353')",,,274.0148385,,2143.07,,29.967,,35.57,7.32,78,x,44.59090356,,,.SAS5*.,,148,SA(s)c:,,0.006494,0.809,RT,,,,,,,,,yes,"done, original result"
TON1009,NGC2770,5,"('137.27542', '32.60861')","('137.39045', '33.12353')",,,274.0148385,FALSE,2143.1,,29.967,10,35.6,7.3,78.1,148,x,10,NGC2770,.SAS5*.,72.4,148,SA(s)c:,,0.006494,0.809,RT,yes,yes,yes,1951,"1854, 2048",350pm21,1.05E14 pm 8.11E12,55.0pm3.5,Lya,"Lya labeled at 1961 _ I measure 1951, looks blended"
TON1009,x,2,"('137.27542', '32.60861')","('x','x')",,,,,,,,,,,,,,,,,,,,,,0.809,RT,no,no,no,3791,"3750, 3832",132pm12,3.44E13 pm 3.81E12,26.3pm 2.5,Lya,Lya labeled at 3792 _ I measure 3792. Ambigous
TON1009,IC2439,4,"('137.27542', '32.60861')","(137.16024, 32.59295)",,,108.6,x,4494.8,,63.30638611,x,23.5,7.5,71.3,30,67.7,68,MCG6-20-32,.L?....,x,x,S0?,,0.01434,0.809,RT,yes,yes,yes,4295,"4200, 4390",343pm17,1.26E14 pm 1.06E13,42.1pm 3.5,Lya,"Lya labeled at 4285 _ I measure 4295, loose galaxy group"
TON1009,x,0,"('137.27542', '32.60861')","('x','x')",,,,,,,,,,,,,,,,,,,,,,0.809,RT,no,no,no,7906,"7862, 7950",65pm16,1.35E13 pm 3.58E12,30.2pm 5.2,Lya,"Lya labeled at 7944 _ I see two separate lines, at 7906 & 7995"
TON1009,x,0,"('137.27542', '32.60861')","('x','x')",,,,,,,,,,,,,,,,,,,,,,0.809,RT,no,no,no,7995,"7957, 8033",67pm13,1.53E13 pm 3.29E12,26.2pm 3.1,Lya,"Lya labeled at 7944 _ I see two separate lines, at 7906 & 7995"
