Target,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,source,comment
3C273.0,1580,NGC4527,30,"('187.27791666666667', '2.0525')","('188.53509', '2.65366')",0.023953787,0.015429863,187.0361666,175.1122411,330.5426431,x,2031,1736,156,13.6,x,31.3,10.7,70,70,5.6,369.96,.SXS4..,0.36,67,SAB(s)bc;HII_LINER,SAB(s)bc;HII_LINER,0.005791,0.15834,x,3,FALSE,TRUE,1580,"1482, 1700",369,1.43E+14,42,Lya,salt,in pilot paper : VIRIAL AND CUSTOM INCLUDE MISMATCH
RBS2000,1598,NGC7582:[ZM98]0024,4,"('351.18625', '-40.680277777777775')","('350.20458', '-41.73083')",0.064775913,0,13.58681455,0.585662019,22.41287639,x,1369,1623,25,1,x,0.7,0.6,30,47,11.7,99.58,.SBS9..,0.83,-99,SAB(s)m,SAB(s)m,0.005414,0.17359,x,1,TRUE,FALSE,1598,"1555, 1641",35,6.81E+12,29,Lya,salt,weak : VIRIAL AND CUSTOM INCLUDE MISMATCH
HE0238-1904,1625,MCG-03-07-044,1,"('40.13583333333334', '-18.864166666666666')","('39.54871', '-20.167')",3.44E-16,7.82E-166,71.70431245,21.78421447,424.4300281,x,1220,1474,-151,17.18,x,7.8,4.9,51,40,16.9,92.93,.LAT0?.,0.59,35,SA(rs)0^0^?,SA(rs)0^0^?,0.004917,0.631,x,0,FALSE,FALSE,1625,"1563, 1651",30pm6,5.83E12 pm 1.20E12,30.0pm 5.7,d:Lya,pilot,"d:Lya labeled at 1625, I measure 1607 : NO GALAXIES : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
HE0435-5304,1633,NGC1566GROUP:[KKF2005]17,4,"('69.21208333333334', '-52.97972222222222')","('69.90367', '-53.01264')",0.077439832,4.53E-05,109.9876496,55.21435502,174.1708872,x,1545,1678,45,23.9,x,14.5,3.3,77,28,66.5,116.99,.S?....,0.74,28,S?,S?,0.005597,0.42616,x,1,TRUE,FALSE,1633,"1570, 1666",217,6.07E+13,35.8,Lya,salt,"blended with 1512, 1690 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE0439-5254,1649,NGC1566GROUP:[KKF2005]17,3,"('70.05', '-52.805')","('69.90367', '-53.01264')",0.941734157,0.053595229,109.9876496,55.21435502,94.11205801,x,1545,1678,29,23.9,x,14.5,3.3,77,28,4.9,116.99,.S?....,0.74,28,S?,S?,0.005597,1.053,x,1,TRUE,TRUE,1649,"1554, 1752",501,2.09E+14,52.7,Lya,salt,hard to fit cont
RBS567,1664,NGC1566GROUP:[KKF2005]17,4,"('69.91125', '-53.191944444444445')","('69.90367', '-53.01264')",1.252973405,0.158649947,109.9876496,55.21435502,74.81810162,x,1545,1678,14,23.9,x,14.5,3.3,77,28,29.4,116.99,.S?....,0.74,28,S?,S?,0.005597,0.243,x,1,TRUE,TRUE,1664,"1542, 1776",517,2.21E+14,55.5,Lya,salt,
HE1228+0131,1686,NGC4536,22,"('187.70833333333334', '1.256388888888889')","('188.61271', '2.18814')",0.020422396,0.008507534,179.9663384,161.0414108,337.5999249,x,2103,1808,122,14.9,x,29.6,15.4,59,95,50.9,455.15,.SXT4..,0.36,130,SAB(rs)bc;HII_Sbrst,SAB(rs)bc;HII_Sbrst,0.006031,0.117,x,2,FALSE,FALSE,1686,"1602, 1720",321,1.68E+14,34,Lya,salt,"in pilot paper, totally blended with 1721 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE0435-5304,1690,NGC1566GROUP:[KKF2005]17,4,"('69.21208333333334', '-52.97972222222222')","('69.90367', '-53.01264')",0.081168421,4.75E-05,109.9876496,55.21435502,174.1708872,x,1545,1678,-12,23.9,x,14.5,3.3,77,28,66.5,116.99,.S?....,0.74,28,S?,S?,0.005597,0.42616,x,1,TRUE,FALSE,1690,"1666, 1770",204,5.60E+13,35.7,Lya,salt,blended with 1633 : VIRIAL AND CUSTOM INCLUDE MISMATCH
SDSSJ140428.30+335342.0,1717,x,0,"('211.11792', '33.895')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.549,x,0,FALSE,FALSE,1717,"1634, 1794",349pm24,1.21E14 pm 1.45E13,41.3pm 2.4,working,pilot,center is 1714 : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES
HE1228+0131,1721,NGC4536,19,"('187.70833333333334', '1.256388888888889')","('188.61271', '2.18814')",0.024520442,0.010214692,179.9663384,161.0414108,337.5999249,x,2103,1808,87,14.9,x,29.6,15.4,59,95,50.9,455.15,.SXT4..,0.36,130,SAB(rs)bc;HII_Sbrst,SAB(rs)bc;HII_Sbrst,0.006031,0.117,x,2,FALSE,FALSE,1721,"1720, 1830",303,1.54E+14,33,Lya,salt,"in pilot paper, totally blended with 1686 : VIRIAL AND CUSTOM INCLUDE MISMATCH"
SDSSJ091728.60+271951.0,1727,SDSSJ092002.66+282057.4,1,"('139.36916666666667', '27.330833333333334')","('140.01111', '28.3493')",1.60E-124,0,28.99554748,3.043189117,488.3983436,x,1704,1496,-231,24,x,2.1,1.3,52,115,85.8,-99.99,x,-99.99,-99,x,x,0.004991,,x,0,FALSE,FALSE,1727,"1686, 1782",63pm21,1.28E13 pm 4.68E12,37.7pm 3.0,Lya,pilot,center is 1734 : ONLY 1 GALAXY : ONLY 1 GALAXY
RX_J1330.8+3119,1740,SDSSJ133025.22+304141.9,6,"('202.72208333333333', '31.325277777777778')","('202.60509', '30.69498')",0,0,10.77182534,0.353553391,325.484678,x,2075,1799,59,29.22,x,0.5,0,87,105,84,-99.99,x,-99.99,-99,Extended_Src_[SDSS],Extended_Src_[SDSS],0.006,0.241,x,0,FALSE,FALSE,1740,"1654, 1810",153pm18,3.35E13 pm 4.54E12,53.7pm 2.3,f:Lya,pilot,"f:Lya labeled at 1740, I measure 1732 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
RBS1795,1795,NGC7582:[ZM98]0024,1,"('328.7129166666667', '-44.235')","('350.20458', '-41.73083')",1.28E-181,0,13.58681455,0.585662019,277.0447133,x,1369,1623,-172,1,x,0.7,0.6,30,47,33.7,99.58,.SBS9..,0.83,-99,SAB(s)m,SAB(s)m,0.005414,0.344,x,0,FALSE,FALSE,1795,"1785, 1899",36pm7,6.98E12 pm 1.41E12,47.9pm 2.6,"d:Lya, Lya",pilot,"center is 1842, very weak : NO GALAXIES : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
HE1228+0131,1854,NGC4536,20,"('187.70833333333334', '1.256388888888889')","('188.61271', '2.18814')",0.028101758,0.011706592,179.9663384,161.0414108,337.5999249,x,2103,1808,-46,14.9,x,29.6,15.4,59,95,50.9,455.15,.SXT4..,0.1,130,SAB(rs)bc;HII_Sbrst,SAB(rs)bc;HII_Sbrst,0.006031,0.117,x,2,FALSE,FALSE,1854,"1830, 1950",78,1.60E+13,41.3,Lya,salt,in pilot paper : VIRIAL AND CUSTOM INCLUDE MISMATCH
PG1216+069,1903,NGC4260,39,"('184.83708333333334', '6.643888888888889')","('184.84267', '6.09868')",0.035743674,0.03713455,198.8282148,200.00422,358.7599892,x,2256,1958,55,37.7,x,34.2,16.4,61,45,45.6,161.49,.SBS1..,0.47,58,SB(s)a;Sy_LINER,SB(s)a;Sy_LINER,0.006531,0.3313,x,3,FALSE,FALSE,1903,"1461, 2345",2269pm33,1.11E15 pm 2.79E13,230.0pm 3.6,"d:Lya, Lya",pilot,"DLA, bit far away, 1125, 1449, 2971, and 3040 Lya and AGN-Ly series markers over nothing, near NGC4260 & many other galaxies, center is 1903; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
TON1009,1961,NGC2770,4,"('137.27583333333334', '32.608333333333334')","('137.39045', '33.12353')",0.032403958,0.000758799,144.3386162,99.69139883,267.1073627,x,2143,1947,-14,29.2,x,21.5,5.6,75,150,40.6,228.11,.SAS5*.,-99.99,148,SA(s)c:,SA(s)c:,0.006494,0.809,x,1,TRUE,FALSE,1961,"1854, 2048",350pm21,1.05E14 pm 8.11E12,55.0pm3.5,Lya,pilot,"Lya labeled at 1961 _ I measure 1951, looks blended : VIRIAL AND CUSTOM INCLUDE MISMATCH"
1H0419-577,2020,x,0,"('66.50291667', '-57.20055556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.104,x,0,FALSE,FALSE,2020,"2004, 2048",9,1.67E+12,17.5,Lya,salt,super weak : NO GALAXIES
QSO1500-4140,2028,x,0,"('225.89125', '-41.87333333')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.335,x,0,FALSE,FALSE,2028,"1988, 2058",95,2.18E+13,28.2,Lya,salt,weak : NO GALAXIES
SDSSJ091728.60+271951.0,2028,x,0,"('139.3691667', '27.33083333')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,0,FALSE,FALSE,2028,"1989, 2069",96pm17,2.18E13 pm 4.59E12,29.1pm 1.8,Lya,pilot,center is 2029 : NO GALAXIES : NO GALAXIES
SDSSJ151237.15+012846.0,2051,NGC5846:[MTT2005]321,11,"('228.155', '1.4794444444444443')","('228.01018', '1.69874')",0.943545639,0.196847828,141.5470874,95.54752221,121.0751229,x,2245,2023,-28,26.4,x,20.9,1.9,85,57,89.6,147.28,.S..7./,0.09,57,Sd,Sd,0.006748,0.26625,x,1,TRUE,TRUE,2051,"1954, 2120",496,1.87E+14,57.4,Lya,salt,noisy
RX_J1544.5+2827,2111,IC4582,2,"('236.12708333333333', '28.465555555555557')","('236.41436', '28.08866')",0.000272032,5.38E-10,131.573648,81.51485754,376.325711,x,2344,2145,34,47.5,x,18.8,6.4,70,170,23.8,77.29,.S?....,0.26,171,S?,S?,0.007155,,x,0,FALSE,FALSE,2111,"2058, 2152",75pm18,1.63E13 pm 4.19E12,31.9pm 3.6,Lya,pilot,center is 2105 : ONLY 1 GALAXY : VIRIAL AND CUSTOM INCLUDE MISMATCH
PG1211+143,2116,IC3061,15,"('183.57375000000002', '14.053611111111111')","('183.7685', '14.02897')",0.319579216,0.07590582,150.7601229,109.5855328,137.6710933,x,2616,2316,200,41.4,x,22.9,5.9,75,120,22.6,134.32,.SB.5?/,-99.99,122,SBc?_sp;LINER_HII,SBc?_sp;LINER_HII,0.007725,0.0804,x,3,TRUE,FALSE,2116,"2044, 2162",105pm8,2.21E13 pm 1.89E12,41.8pm 1.4,Lya,pilot,"STIS only, center is 2103 ; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
H1101-232,2117,IC2627,1,"('165.90708333333333', '-23.491944444444446')","('167.47246', '-23.72594')",0.008131436,2.78E-205,28.03565435,2.828427125,61.38331285,x,2316,2090,-27,2.42,x,2,1.6,39,20,79.3,161.49,.SAS4*.,0.87,-99,SAB(rs?)bc_HII,SAB(rs?)bc_HII,0.006971,0.186,x,0,FALSE,FALSE,2117,"2058, 2142",46,9.29E+12,34.6,Lya,salt,super weak : ONLY 1 GALAXY ; distance and diameter are likely wrong - should be farther/bigger
3C273.0,2156,NGC4536,7,"('187.27791666666667', '2.0525')","('188.61271', '2.18814')",0.001134937,0.000445985,179.9663384,161.0414108,348.6695472,x,2103,1808,-348,14.9,x,29.6,15.4,59,95,10.8,455.15,.SXT4..,-99.99,130,SAB(rs)bc;HII_Sbrst,SAB(rs)bc;HII_Sbrst,0.006031,0.15834,x,0,FALSE,FALSE,2156,"2089, 2243",42,7.95E+12,57.9,Lya,salt,in pilot paper : VIRIAL AND CUSTOM INCLUDE MISMATCH
HE0238-1904,2177,x,0,"('40.13583', '-18.86417')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.631,x,0,FALSE,FALSE,2177,"2102, 2204",31pm5,5.97E12 pm 1.03E12,35.9pm 2.4,d:Lya,pilot,"d:Lya labeled at 2177, I measure 2153. No galaxies nearby : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES"
PG0832+251,2183,SDSSJ083335.64+250847.1,1,"('128.89916666666664', '24.994444444444444')","('128.39854', '25.14642')",3.10E-20,0,42.05801054,6.830519746,281.7128583,x,2396,2229,46,33.75,x,3.6,1.7,62,109,0.5,-99.99,x,-99.99,-99,x,x,0.007436,,x,0,FALSE,FALSE,2183,"2117, 2233",220pm12,6.35E13 pm 4.98E12,33.5pm 2.5,Lya,pilot,center is 2175 : ONLY 1 GALAXY : ONLY 1 GALAXY
SBS0957+599,2198,MCG+10-15-008,1,"('150.26083333333332', '59.73722222222222')","('151.16063', '60.46617')",1.29E-19,5.49E-197,72.96794091,22.627417,480.9909951,x,2417,2241,43,32.2,x,8,0.6,85,121,89.1,-99.99,x,-99.99,-99,Sd(f),Sd(f),0.007476,,x,0,FALSE,FALSE,2198,"2123, 2257",146pm15,3.40E13 pm 3.85E12,38.1pm 3.6,Lya,pilot,center is 2190 : NO GALAXIES : ONLY 1 GALAXY
FBQSJ1431+2442,2241,x,0,"('217.8575', '24.70556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,0,FALSE,FALSE,2241,"2216, 2286",54pm19,1.11E13 pm 4.36E12,29.0pm 3.9,Lya,pilot,center is 2251 : NO GALAXIES : NO GALAXIES
MRC2251-178,2265,x,0,"('343.5245833', '-17.58194444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.06609,x,0,FALSE,FALSE,2265,"2210, 2322",76,1.55E+13,39.4,Lya,salt, : NO GALAXIES
3C273.0,2267,NGC4385,3,"('187.27791666666667', '2.0525')","('186.42835', '0.57262')",1.47E-09,1.09E-193,52.75811898,11.18033989,235.5613328,x,2433,2140,-127,7.91,x,5,2.3,63,100,70.2,131.27,.LBT+*.,-99.99,82,SB(rs)0+:;HII_Sbrst,SB(rs)0+:;HII_Sbrst,0.007138,0.15834,x,0,FALSE,FALSE,2267,"2244, 2344",27,5.07E+12,36.1,Lya,salt,in pilot paper : VIRIAL AND CUSTOM INCLUDE MISMATCH
SDSSJ112005.00+041323.0,2285,NGC3633,4,"('170.02083333333334', '4.223055555555556')","('170.10924', '3.58561')",1.83E-07,1.74E-17,128.173492,77.00481154,462.7384123,x,2884,2600,315,41.2,x,18.1,6.5,69,70,77.9,72.14,.SA.1*/,-99.99,72,SAa:_sp_HII,SAa:_sp_HII,0.008673,0.54689,x,0,FALSE,FALSE,2285,"2276, 2300",27,6.28E+12,8.4,Lya,salt,"very narrow, weak : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE0241-3043,2309,2PIGGSGPGALB+0.72056-0.54958,1,"('40.90708333333333', '-30.513333333333332')","('41.81308', '-31.28053')",-99.99,-99.99,-99.99,-99.99,498.1160774,x,1856,2095,-214,26.13,x,-99.99,-99.99,-99,-99,53.5,-99.99,x,-99.99,-99,x,x,0.006988,,x,0,FALSE,FALSE,2309,"2239, 2355",60pm13,1.18E13 pm 2.80E12,44.5pm 1.9,Lya,pilot,center is 2297 : ONLY 1 GALAXY : ONLY 1 GALAXY
HE1228+0131,2311,UGC07625,6,"('187.70833333333334', '1.256388888888889')","('187.38654', '0.83964')",4.85E-06,2.39E-25,102.5456386,47.41403801,356.5350434,x,2527,2234,-77,38.8,x,13.1,1.3,84,73,35.3,54.72,.S..9?/,-99.99,73,Sd(f),Sd(f),0.007452,0.117,x,0,FALSE,FALSE,2311,"2222, 2408",343,1.26E+14,39.3,Lya,salt,in pilot paper : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J1117.6+5301,2374,x,0,"('169.41875', '53.03055556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,0,FALSE,FALSE,2374,"2324, 2432",186pm16,4.78E13 pm 5.28E12,34.7pm 1.9,Lya,pilot,center is 2378 : NO GALAXIES : NO GALAXIES
LBQS1230-0015,2406,NGC4385,2,"('188.26708333333335', '-0.5261111111111111')","('186.42835', '0.57262')",3.87E-15,2.61E-305,52.75811898,11.18033989,295.7111756,x,2433,2140,-266,7.91,x,5,2.3,63,100,20.9,131.27,.LBT+*.,-99.99,82,SB(rs)0+:;HII_Sbrst,SB(rs)0+:;HII_Sbrst,0.007138,0.47095,x,0,FALSE,FALSE,2406,"2372, 2442",107,2.55E+13,24.9,Lya,salt,in pilot paper : VIRIAL AND CUSTOM INCLUDE MISMATCH
PG1001+054,2425,x,0,"('151.08375', '5.21694')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,0,FALSE,FALSE,2425,"2346, 2516",335pm11,1.14E14 pm 5.93E12,40.8pm 2.9,Lya,pilot,center is 2431 : NO GALAXIES : NO GALAXIES
SDSSJ080838.80+051440.0,2474,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.361,x,0,FALSE,FALSE,2474,"2400, 2514",133pm23,3.03E13 pm 6.05E12,40.8pm 2.2,done,pilot,center is 2457 : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES
HE0238-1904,2517,x,0,"('40.13583', '-18.86417')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.631,x,0,FALSE,FALSE,2517,"2407, 2635",109pm8,2.16E13 pm 1.65E12,74.3pm 3.4,d:Lya,pilot,"d:Lya labeled at 2517, I measure 2521. No galaxies nearby : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES"
RX_J0714.5+7408,2555,UGC03730,4,"('108.65083333333334', '74.1361111111111')","('108.585', '73.47694')",0.001096885,0.00036426,184.554857,170.1012728,460.3665707,x,2790,2709,154,40,x,30.7,19.7,50,166,15.6,169.1,.RING..,-99.99,165,x,x,0.009036,0.371,x,0,FALSE,FALSE,2555,"2522, 2588",28pm7,5.46E12 pm 1.45E12,23.8pm 3.5,done,pilot,"weak, center is 2555 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
SDSSJ112005.00+041323.0,2578,NGC3633,4,"('170.02083333333334', '4.223055555555556')","('170.10924', '3.58561')",2.16E-06,2.05E-16,128.173492,77.00481154,462.7384123,x,2884,2600,22,41.2,x,18.1,6.5,69,70,77.9,72.14,.SA.1*/,-99.99,72,SAa:_sp_HII,SAa:_sp_HII,0.008673,0.54689,x,0,FALSE,FALSE,2578,"2528, 2612",116,2.69E+01,30.8,Lya,salt, : VIRIAL AND CUSTOM INCLUDE MISMATCH
SDSSJ135726.27+043541.4,2586,x,0,"('209.3595833', '4.594722222')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1.23453,x,0,FALSE,FALSE,2586,"2552, 2624",60,1.24E+13,27.4,Lya,salt,weak : NO GALAXIES
SDSSJ080838.80+051440.0,2596,x,0,"('122.16167', '5.24444')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.361,x,0,FALSE,FALSE,2596,"2520, 2660",294pm21,9.38E13 pm 1.08E13,39.8pm 3.2,done,pilot,center is 2590 : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES
RX_J1121.2+0326,2605,NGC3633,2,"('170.30833333333334', '3.4297222222222223')","('170.10924', '3.58561')",0.134205281,0.003836649,128.173492,77.00481154,181.6159905,x,2884,2600,-5,41.2,x,18.1,6.5,69,70,58.1,72.14,.SA.1*/,0.33,72,SAa:_sp_HII,SAa:_sp_HII,0.008673,0.152,x,1,TRUE,FALSE,2605,"2533, 2667",190,4.60E+13,43.3,Lya,salt,noisy : VIRIAL AND CUSTOM INCLUDE MISMATCH
HE0241-3043,2623,x,0,"('40.90708', '-30.51333')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,0,FALSE,FALSE,2623,"2607, 2657",25pm9,4.94E12 pm 1.80E12,20.5pm 3.2,Lya,pilot,center is 2632 : NO GALAXIES : NO GALAXIES
RX_J0714.5+7408,2649,UGC03730,4,"('108.65083333333334', '74.1361111111111')","('108.585', '73.47694')",0.00181371,0.000602307,184.554857,170.1012728,460.3665707,x,2790,2709,60,40,x,30.7,19.7,50,166,15.6,169.1,.RING..,-99.99,165,x,x,0.009036,0.371,x,0,FALSE,FALSE,2649,"2596, 2714",106pm9,2.26E13 pm 2.12E12,40.0pm 2.0,done,pilot,center is 2655 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J1330.8+3119,2654,x,0,"('202.72167', '31.32556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.241,x,0,FALSE,FALSE,2654,"2560, 2764",423pm17,1.56E14 pm 1.12E13,49.8pm 2.9,f:Lya,pilot,"f:Lya labeled at 2654, center is 2662. This galaxy is tiny, far away, and has no info (phot redshifts also).  : ONLY 1 GALAXY : NO GALAXIES : NO GALAXIES : NO GALAXIES"
RX_J1330.8+3119,2822,x,0,"('202.72167', '31.32556')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.241,x,0,FALSE,FALSE,2822,"2779, 2865",58pm13,1.19E13 pm 2.93E12,36.8pm 3.4,no,pilot,"Not marked, possibly weak Lya. This galaxy is tiny, far away, and has no info (phot redshifts also). Center is 2822 : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES"
SDSSJ140428.30+335342.0,2827,x,0,"('211.11792', '33.895')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.549,x,0,FALSE,FALSE,2827,"2800, 2856",45pm18,9.51E12 pm 4.13E12,22.3pm 5.3,working,pilot,center is 2828 : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES
1H0717+714,2870,UGC03804,1,"('110.47291666666666', '71.34333333333333')","('110.64454', '71.59894')",0.2430525,0.125980951,168.0401296,138.74016,199.3421189,x,2973,2887,17,43.7,x,26.8,16.1,53,5,7.1,106.7,.S..6*.,0.6,13,Scd:,Scd:,0.00963,0.5003,x,1,TRUE,TRUE,2870,"2760, 2960",343pm6,9.25E13 pm 1.97E12,57.1pm 1.7,d:Lya,pilot,"blended with 2956, center is 2860; p : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
SBS0957+599,2870,MCG+10-15-001,2,"('150.26083333333332', '59.73722222222222')","('150.50403', '59.25232')",6.43E-08,9.52E-46,90.32839293,35.98651136,366.1785208,x,2977,2799,-71,41.93,x,10.9,9.1,34,152,13.8,-99.99,x,0.85,-99,E0,E0,0.009337,,x,0,FALSE,FALSE,2870,"2800, 2954",246pm15,6.67E13 pm 4.95E12,43.2pm 2.7,Lya,pilot,center is 2877 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J1117.6+5301,2874,MCG+09-19-008,2,"('169.41875000000002', '53.030833333333334')","('168.46024', '53.08642')",5.80E-12,1.49E-79,86.28476458,32.57618762,438.8799897,x,3085,2865,-9,43.45,x,10.2,3,73,66,29.5,-99.99,x,-99.99,-99,x,x,0.009557,,x,0,FALSE,FALSE,2874,"2816, 2936",108pm18,2.31E13 pm 4.27E12,45.5pm 3.4,Lya,pilot,center is 2876 : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH
SDSSJ130524.30+035731.0,2924,UGC08153,1,"('196.35125000000002', '3.958611111111111')","('195.77465', '3.99188')",0.000317806,2.61E-07,150.7601229,109.5855328,425.3745127,x,3156,2863,-61,42.3,x,22.9,17.1,41,22,71.3,101.89,.S..7..,0.89,-99,Sd,Sd,0.00955,,x,0,FALSE,FALSE,2924,"2884, 2966",46pm13,9.30E12 pm 2.87E12,24.4pm 4.5,Lya,pilot,center is 2925 : ONLY 1 GALAXY : ONLY 1 GALAXY
1H0717+714,2956,UGC03804,1,"('110.47291666666666', '71.34333333333333')","('110.64454', '71.59894')",0.217343156,0.112655075,168.0401296,138.74016,199.3421189,x,2973,2887,-69,43.7,x,26.8,16.1,53,5,7.1,106.7,.S..6*.,0.6,13,Scd:,Scd:,0.00963,0.5003,x,1,TRUE,TRUE,2956,"2954, 3022",39pm4,7.94E12 pm 8.35E11,24.4pm 2.4,d:Lya,pilot,"d:Lya labeled at 2956, center is 2988, blended with 2870 - needs fitting; p : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY : ONLY 1 GALAXY"
HE0238-1904,2961,x,0,"('40.13583', '-18.86417')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.631,x,0,FALSE,FALSE,2961,"2862, 3052",65pm7,1.25E13 pm 1.37E12,66.6pm 3.3,d:Lya,pilot,"d:Lya labeled at 2961, I measure 2957. No galaxies nearby : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES"
2dFGRS_S393Z082,3012,x,0,"('41.25333', '-30.12306')","('x', 'x')",-99,-99,-99,-99,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.34,x,0,FALSE,FALSE,3012,"2970, 3028",52pm13,1.13E13 pm 3.22E12,20.7pm 2.6,done,pilot,center is 2999 : NO GALAXIES : NO GALAXIES : NO GALAXIES : NO GALAXIES
MRC2251-178,3061,PGC069976,3,"('343.52458333333334', '-17.581944444444446')","('343.6474', '-18.00054')",7.73E-06,1.33E-25,97.63112263,42.61276804,319.5058844,x,2991,3267,206,42.12,x,12.2,7.3,53,40,55.6,75.54,.IBS9..,-99.99,40,IB(s)m,IB(s)m,0.010898,0.06609,x,0,FALSE,FALSE,3061,"3006, 3116",69,1.39E+13,43.1,Lya,salt,blended with 3205 : VIRIAL AND CUSTOM INCLUDE MISMATCH
